search_term,store_uuid,latitude,longitude,merchant_name
truly,28138943-3474-40c4-ae7f-d97996a5e848,40.5120997,-80.2153076,Uber Eats - Ajbambino Pizzeria
truly,ca911cd4-40f5-55c6-8096-51c40a10b2a4,37.78754,-90.4238,Uber Eats - Domino's (615 North A St)
truly,25607f11-9188-56d7-899b-9b69aed85d37,40.4560277,-79.9771036,Uber Eats - Preeti's Pitt LLC
truly,ec5d8a36-693e-56b2-8003-30c2f7c8398e,40.41737,-79.98689,Uber Eats - Krispy Kreme Delivered Fresh Daily Shop
truly,0596d492-142f-4995-b2e2-8476df8a18f8,40.452263,-79.9524889,Uber Eats - All India Authentic Cuisine
truly,c9ea133f-0e04-537e-bb44-f632d2d42555,40.5133829,-80.0008202,Uber Eats - Lupi's Famous Pizza
truly,a8dd559a-79de-4929-b367-20e609ebc585,40.4403013,-80.0026359,Uber Eats - Primanti Bros. (Market Square)
truly,eeb3d8cb-d790-4668-a79a-1037c357c5ad,37.92339,-90.53683,Uber Eats - Huddle House (10 Northwood Drive)
truly,95b4f55b-e247-51ae-a260-9058dfa39082,40.4440658,-80.0406852,Uber Eats - King Fried Chicken
truly,ffd09bbb-a5dd-4128-99d9-a71958451955,40.4462404,-80.0106014,Uber Eats - Bar Louie (North Shore - C)
truly,7dab27ed-3194-5ae2-8442-17b28dcf296e,40.4288142,-79.9812362,Uber Eats - Macaroni Man (1717 East Carson Street)
truly,dcf013c8-45c0-4c21-848a-392747bcd8c2,40.4521042,-79.9516079,Uber Eats - Pizza Pronto
truly,77fa8f02-44e8-57fa-a1d6-dca54b5d9400,40.4412398,-79.9566472,Uber Eats - K-town Snack Bar
truly,789b3be3-af85-449f-989a-dd2b786c2291,40.327688,-80.034663,Uber Eats - Ann's Chop House (South Park Rd)
truly,f7d7fd8d-492a-5bf5-8f78-3f6906ad3c74,36.321327,-121.243456,Uber Eats - Martinez Tortilleria & Bakery
truly,18d1abf4-85ba-5212-85fc-3ee437443ef5,40.4519232,-79.9521981,Uber Eats - Chinese Hot Pot Corner
truly,3cba0907-87d5-4f4d-8851-9bf7352720f1,40.5112256,-79.947514,Uber Eats - Burger King (909 Butler St)
truly,2238b669-52cb-433d-8644-e0ed668583b5,40.4524041,-79.9505933,Uber Eats - Pizza Bellagio
truly,e15b4259-62a9-5b4a-b7dc-7c122682e7cb,37.77019,-90.44835,Uber Eats - Captain D's (1710 West Columbia Street)
truly,d7d19496-2ab3-452d-939f-6317bb039458,40.4289336,-79.983478,Uber Eats - Gennaro's Pizza
truly,8b35acf0-aaab-539b-8567-4e04039ead7b,35.754142,-79.168019,Uber Eats -  Lowes Foods ( 65 Ramseur Rd)
truly,0387c182-4a01-5e39-9ae0-8cee104282c3,40.42781241906592,-79.9657658368957,Uber Eats - Taquitos ~ SouthSide
truly,f9b041f0-2eae-466a-b804-085d896b064e,40.4286599,-79.984366,Uber Eats - Sal's pizza
truly,f30a75fb-3fd8-4d23-b12a-f18bcd828377,37.7883148,-90.4224167,Uber Eats - McDonald's (207 W Karsch Blvd)
truly,9f1f924f-04d4-48e4-8141-021d4c69fc57,40.4406394,-79.957146,Uber Eats - Burger House
truly,1924e1ff-b59d-4fce-be57-72b3f1a49f0b,40.4406349,-79.9571403,Uber Eats - Pizza Romano - Pittsburgh
truly,fce3c097-d973-52fb-8351-aef1618d6e3b,40.4386799,-79.9836244,Uber Eats - Sweet Peas - 1605 5th Ave
truly,c5e33d39-6c0d-5e8e-9d0a-bbf1692d088d,35.48892,-79.19458,Uber Eats - Lowes Foods (818 Spring Lane)
truly,8e303470-5a2c-557a-9e96-5e961ef544db,35.8447437,-79.0895148,Uber Eats - Lowes Foods (11312 Highway 15 501 N.)
truly,6d312620-5ec1-4080-9cca-cf83f5dbbd40,40.7685939,-73.9252699,Uber Eats - Bodega Wines and Spirits
truly,421f264d-18cc-5766-9af4-1ad202b64a5d,40.75112,-74.00189,Uber Eats - Death Ave Wines
truly,c5d796a6-6766-5f5e-9444-b67c59f03dbc,39.39343,-76.4883,Uber Eats - Liquor Depot - Perry Hall
truly,1c9dea4f-ae57-565e-97d0-9402480a1b55,41.437423,-72.991515,Uber Eats - Town And Country Liquors
truly,f65d1a54-2116-5f06-8a2d-caddb1ba5a7d,34.94718,-120.42982,Uber Eats - Boone Street Market
truly,9467a3b3-ac61-5100-ba80-194cc8a8051d,33.70124,-117.23971,Uber Eats - Corner Cave
truly,03905f89-e4dd-5fba-b89c-d1962684c1af,40.71368226487397,-73.91560571691305,Uber Eats - Ellen’s wine & spirits
truly,1b213747-22bb-5f30-8658-714304f55bf5,34.7037965,-118.1567366,Uber Eats - Batz Liquor
truly,7179328c-1a1f-55a9-ae65-bf8b01f5c0dd,36.1634877,-115.2885668,Uber Eats - Total Wine & More (Las Vegas - Summerlin)
truly,97cbe499-7ce9-5b36-86b4-68f7fe33f3b9,35.7457009,-78.7613888,Uber Eats - Lowes Foods (6430 Tryon Road)
truly,c80d1f5f-a778-587f-823e-4746fd68abd9,40.35681090390928,-74.79764514621414,Uber Eats - Route 31 Liquors
truly,869128ae-b26c-550b-8057-b2698478ea41,34.14644,-118.26446,Uber Eats - Broadway Liquor Mart
truly,06df54e9-fc83-5f27-b71f-493bf3dc9f9b,34.1337084,-80.8814231,Uber Eats - Lowes Foods (120 Forum Drive)
truly,0a8439c1-b84f-560d-b61b-ebb285dacfb5,34.8074106,-82.2245461,Uber Eats - Lowes Foods (2815 Woodruff Rd)
truly,9f3cb4eb-7e21-58c7-afe2-5339f2141a0b,35.63783,-80.10586,Uber Eats - Lowes Foods (17525 S. Highway 109)
truly,0fe1611e-0d11-5ebd-b300-369f7c2d2eac,45.02453,-84.72329,Uber Eats - Meijer (250 Meijer Dr)
truly,4e546335-4267-5d26-ba01-2726c75abc3f,42.99167,-78.81965,Uber Eats - Premier Wine & Spirits
truly,3036066b-8240-5f0e-9c69-41333e749e2d,42.31582,-71.06265,Uber Eats - EZ Market
truly,2cb3ce2f-0207-5a31-9c3c-c452ac0631e3,32.00853,-101.97828,Uber Eats - Good Times Liquor N More
truly,c5413c12-1b13-5695-8d75-2639b0a7137d,40.059569,-83.048138,Uber Eats - Beer Zone
truly,2096e804-385c-528e-b2a3-2e8d72171bad,35.20665,-79.4816,Uber Eats - Lowes Foods (266 Central Park Avenue)
truly,a35e30f6-399d-5104-9277-c22829298e97,36.2171975,-79.7862806,Uber Eats - Lowes Foods (5820F North Church Street)
truly,f89c4556-b835-54a5-9343-0b0c1723810d,36.49929,-80.61802,Uber Eats - Lowes Foods (715 Independence Boulevard)
truly,3931e6d1-f271-5cd6-a383-363deb141027,41.07085,-74.74345,Uber Eats - USA Wine Traders Club of Newton
truly,820b037d-d4b7-5a8c-a23c-d49920ede338,34.41405,-84.28217,Uber Eats - Lowes Foods (70 Foothills Pkwy)
truly,b6de990a-3ce3-50b5-a909-83eb9c3838de,35.1738604,-79.4186847,Uber Eats - Lowes Foods (1740 Old Morganton Road)
truly,52d364b0-21fd-5ca2-8715-0e8661206dde,39.4885087,-74.464264,Uber Eats - Smitty's Wine & Spirits
truly,1c7e211c-d244-5bbf-be75-ec29d3d9e21f,37.78801,-122.23217,Uber Eats - G1 Liquor 3
truly,4a0a773f-5da5-5190-9105-f202a22926a5,36.6963,-121.63977,Uber Eats - Quik Save
truly,00d7a018-1310-5039-bfa1-693dcb320bc2,34.17926,-118.44045,Uber Eats - George's Liquor & Jr Market
truly,479591a2-507f-5a91-9370-cbb5df40f239,34.0208207,-80.9687836,Uber Eats - Lowes Foods (4711 Forest Drive)
truly,619f9cd3-2a09-5875-bcfc-88f136bb2211,43.3359114992246,-73.67975138623392,Uber Eats - Monty's Discount Wine & Liquor
truly,2fa0d02b-362f-52c6-b4fb-25b6736e324b,30.27481,-97.75263,Uber Eats - Spec's (North Lamar)
truly,b9e85f65-4ce6-53f8-b921-cf6c39c3a3f9,27.88981,-82.52925,Uber Eats - Duckweed Liquors (Westshore Marina)
truly,19f0339f-c1ab-5dda-a1bf-921018c0d8b5,35.89964,-79.94821,"Uber Eats - Lowes Foods (10106 S Main Street, Suite A)"
truly,b3fa02e9-597d-566f-959c-30c1155eb355,34.31146,-89.94185,Uber Eats - Eagle Wine & Liquor
truly,f3b757ed-94e4-592a-abb8-2d5f8df82c5a,39.112011051192255,-77.53561282251705,Uber Eats - Sprouts Farmers Market
truly,2594c1de-40ec-540a-b91d-491e391ac844,36.6495973,-87.4385007,Uber Eats - The Hut Liquors #1 Discount Liquor Store in Oak Grove KY
truly,5ccf99e5-dc90-530d-8f7b-cacd06639231,31.2129678,-81.4878633,Uber Eats - A to Z Liquors
truly,371c5d18-07c0-57aa-b87b-2b5a929add2b,35.587283,-80.8721571,Uber Eats - Lowes Foods (125 Center Square Drive )
truly,212f4e23-3ccb-57ff-b94e-9187107d7800,31.45120240629019,-83.52511651455522,Uber Eats - Royal Liquor Store 
