search_terms,additional_data,merchant_name
"[""truly""]","{""latitude"": ""37.78936"", ""store_id"": ""9ef2c002-8a68-4e46-9628-401d04cc4447"", ""longitude"": ""-90.42993""}",Uber Eats - Panera (685 W Karsch Blvd )
"[""truly""]","{""latitude"": ""40.4370044"", ""store_id"": ""8cae2e08-c862-4cf3-b657-78cb7a5c36e1"", ""longitude"": ""-79.95495""}",Uber Eats - Tallgrass Burger
"[""truly""]","{""latitude"": ""40.4511783"", ""store_id"": ""a18d3e67-543d-58d9-b0f6-a15b61e0a4d0"", ""longitude"": ""-80.0190283""}",Uber Eats - The Ice Cream Shop (1001 WESTERN AVE)
"[""truly""]","{""latitude"": ""40.5120997"", ""store_id"": ""28138943-3474-40c4-ae7f-d97996a5e848"", ""longitude"": ""-80.2153076""}",Uber Eats - Ajbambino Pizzeria
"[""truly""]","{""latitude"": ""37.78754"", ""store_id"": ""ca911cd4-40f5-55c6-8096-51c40a10b2a4"", ""longitude"": ""-90.4238""}",Uber Eats - Domino's (615 North A St)
"[""truly""]","{""latitude"": ""40.4560277"", ""store_id"": ""25607f11-9188-56d7-899b-9b69aed85d37"", ""longitude"": ""-79.9771036""}",Uber Eats - Preeti's Pitt LLC
"[""truly""]","{""latitude"": ""40.41737"", ""store_id"": ""ec5d8a36-693e-56b2-8003-30c2f7c8398e"", ""longitude"": ""-79.98689""}",Uber Eats - Krispy Kreme Delivered Fresh Daily Shop
"[""truly""]","{""latitude"": ""40.452263"", ""store_id"": ""0596d492-142f-4995-b2e2-8476df8a18f8"", ""longitude"": ""-79.9524889""}",Uber Eats - All India Authentic Cuisine
"[""truly""]","{""latitude"": ""40.5133829"", ""store_id"": ""c9ea133f-0e04-537e-bb44-f632d2d42555"", ""longitude"": ""-80.0008202""}",Uber Eats - Lupi's Famous Pizza
"[""truly""]","{""latitude"": ""40.4403013"", ""store_id"": ""a8dd559a-79de-4929-b367-20e609ebc585"", ""longitude"": ""-80.0026359""}",Uber Eats - Primanti Bros. (Market Square)
"[""truly""]","{""latitude"": ""37.92339"", ""store_id"": ""eeb3d8cb-d790-4668-a79a-1037c357c5ad"", ""longitude"": ""-90.53683""}",Uber Eats - Huddle House (10 Northwood Drive)
"[""truly""]","{""latitude"": ""40.4440658"", ""store_id"": ""95b4f55b-e247-51ae-a260-9058dfa39082"", ""longitude"": ""-80.0406852""}",Uber Eats - King Fried Chicken
"[""truly""]","{""latitude"": ""40.4462404"", ""store_id"": ""ffd09bbb-a5dd-4128-99d9-a71958451955"", ""longitude"": ""-80.0106014""}",Uber Eats - Bar Louie (North Shore - C)
"[""truly""]","{""latitude"": ""40.4288142"", ""store_id"": ""7dab27ed-3194-5ae2-8442-17b28dcf296e"", ""longitude"": ""-79.9812362""}",Uber Eats - Macaroni Man (1717 East Carson Street)
"[""truly""]","{""latitude"": ""40.4521042"", ""store_id"": ""dcf013c8-45c0-4c21-848a-392747bcd8c2"", ""longitude"": ""-79.9516079""}",Uber Eats - Pizza Pronto
"[""truly""]","{""latitude"": ""40.4412398"", ""store_id"": ""77fa8f02-44e8-57fa-a1d6-dca54b5d9400"", ""longitude"": ""-79.9566472""}",Uber Eats - K-town Snack Bar
"[""truly""]","{""latitude"": ""40.327688"", ""store_id"": ""789b3be3-af85-449f-989a-dd2b786c2291"", ""longitude"": ""-80.034663""}",Uber Eats - Ann's Chop House (South Park Rd)
"[""truly""]","{""latitude"": ""36.321327"", ""store_id"": ""f7d7fd8d-492a-5bf5-8f78-3f6906ad3c74"", ""longitude"": ""-121.243456""}",Uber Eats - Martinez Tortilleria & Bakery
"[""truly""]","{""latitude"": ""40.4519232"", ""store_id"": ""18d1abf4-85ba-5212-85fc-3ee437443ef5"", ""longitude"": ""-79.9521981""}",Uber Eats - Chinese Hot Pot Corner
"[""truly""]","{""latitude"": ""40.5112256"", ""store_id"": ""3cba0907-87d5-4f4d-8851-9bf7352720f1"", ""longitude"": ""-79.947514""}",Uber Eats - Burger King (909 Butler St)
"[""truly""]","{""latitude"": ""40.4524041"", ""store_id"": ""2238b669-52cb-433d-8644-e0ed668583b5"", ""longitude"": ""-79.9505933""}",Uber Eats - Pizza Bellagio
"[""truly""]","{""latitude"": ""37.77019"", ""store_id"": ""e15b4259-62a9-5b4a-b7dc-7c122682e7cb"", ""longitude"": ""-90.44835""}",Uber Eats - Captain D's (1710 West Columbia Street)
"[""truly""]","{""latitude"": ""40.4289336"", ""store_id"": ""d7d19496-2ab3-452d-939f-6317bb039458"", ""longitude"": ""-79.983478""}",Uber Eats - Gennaro's Pizza
"[""truly""]","{""latitude"": ""35.754142"", ""store_id"": ""8b35acf0-aaab-539b-8567-4e04039ead7b"", ""longitude"": ""-79.168019""}",Uber Eats -  Lowes Foods ( 65 Ramseur Rd)
"[""truly""]","{""latitude"": ""40.42781241906592"", ""store_id"": ""0387c182-4a01-5e39-9ae0-8cee104282c3"", ""longitude"": ""-79.9657658368957""}",Uber Eats - Taquitos ~ SouthSide
"[""truly""]","{""latitude"": ""40.4286599"", ""store_id"": ""f9b041f0-2eae-466a-b804-085d896b064e"", ""longitude"": ""-79.984366""}",Uber Eats - Sal's pizza
"[""truly""]","{""latitude"": ""37.7883148"", ""store_id"": ""f30a75fb-3fd8-4d23-b12a-f18bcd828377"", ""longitude"": ""-90.4224167""}",Uber Eats - McDonald's (207 W Karsch Blvd)
"[""truly""]","{""latitude"": ""40.4406394"", ""store_id"": ""9f1f924f-04d4-48e4-8141-021d4c69fc57"", ""longitude"": ""-79.957146""}",Uber Eats - Burger House
"[""truly""]","{""latitude"": ""40.4406349"", ""store_id"": ""1924e1ff-b59d-4fce-be57-72b3f1a49f0b"", ""longitude"": ""-79.9571403""}",Uber Eats - Pizza Romano - Pittsburgh
